STATE,NAME,DISTANCE
AC,Manoel Urbano/AC,49.142036326543
AL,Tanque d'Arca/AL,70.54818490163157
AM,Codajás/AM,259.31502547203206
AP,Ferreira Gomes/AP,17.542305983195
BA,Nova Itarana/BA,923.4777839236605
CE,Madalena/CE,277.44968558077596
ES,Santa Maria de Jetibá/ES,71.33941178497801
GO,Inhumas/GO,419.3653904430343
MA,Lago Verde/MA,391.9322277028138
MG,Belo Horizonte/MG,2077.503392250509
MS,Rio Brilhante/MS,149.807259460327
MT,Nova Mutum/MT,434.5097837643247
PA,Igarapé-Miri/PA,428.28173950465793
PB,Juazeirinho/PB,247.59557926473394
PE,São Caitano/PE,247.58185067312414
PI,Tanque do Piauí/PI,417.43136564107334
PR,Godoy Moreira/PR,655.257037037794
RJ,Teresópolis/RJ,85.315193087887
RN,Bodó/RN,172.88864011727154
RO,Urupá/RO,71.23295917772701
RR,Cantá/RR,17.918309021656
RS,Fontoura Xavier/RS,775.3199760174762
SC,São Cristovão do Sul/SC,481.2470528390882
SE,Santa Rosa de Lima/SE,36.11210816712271
SP,Bariri/SP,1238.3089481950876
TO,Rio dos Bois/TO,299.95716886683203
